RegionType,Location Name,CBSACode,Year-Month,MortgageData
State,Vermont,50',2011-09,2.7%
State,Virginia,51',2011-09,3.0%
State,Washington,53',2011-09,2.4%
State,West Virginia,54',2011-09,4.3%
State,Wisconsin,55',2011-09,2.4%
State,Wyoming,56',2011-09,2.6%
National,United States,-----,2011-10,3.4%
State,Alabama,01',2011-10,4.5%
State,Alaska,02',2011-10,2.0%
State,Arizona,04',2011-10,3.3%
State,Arkansas,05',2011-10,4.3%
State,California,06',2011-10,2.7%
State,Colorado,08',2011-10,2.3%
State,Connecticut,09',2011-10,3.4%
State,Delaware,10',2011-10,3.9%
State,District of Columbia,11',2011-10,3.1%
State,Florida,12',2011-10,3.6%
State,Georgia,13',2011-10,4.8%
State,Hawaii,15',2011-10,1.9%
State,Idaho,16',2011-10,3.1%
State,Illinois,17',2011-10,3.3%
State,Indiana,18',2011-10,3.7%
State,Iowa,19',2011-10,2.5%
State,Kansas,20',2011-10,2.8%
State,Kentucky,21',2011-10,3.5%
State,Louisiana,22',2011-10,4.6%
State,Maine,23',2011-10,3.7%
State,Maryland,24',2011-10,3.7%
State,Massachusetts,25',2011-10,2.8%
State,Michigan,26',2011-10,3.7%
State,Minnesota,27',2011-10,2.3%
State,Mississippi,28',2011-10,6.5%
State,Missouri,29',2011-10,3.6%
State,Montana,30',2011-10,2.0%
State,Nebraska,31',2011-10,2.6%
State,Nevada,32',2011-10,3.1%
State,New Hampshire,33',2011-10,3.1%
State,New Jersey,34',2011-10,3.2%
State,New Mexico,35',2011-10,3.0%
State,New York,36',2011-10,3.3%
State,North Carolina,37',2011-10,4.2%
State,North Dakota,38',2011-10,1.2%
State,Ohio,39',2011-10,3.4%
State,Oklahoma,40',2011-10,3.5%
State,Oregon,41',2011-10,2.1%
State,Pennsylvania,42',2011-10,3.8%
State,Rhode Island,44',2011-10,3.5%
State,South Carolina,45',2011-10,4.6%
State,South Dakota,46',2011-10,1.6%
State,Tennessee,47',2011-10,4.3%
State,Texas,48',2011-10,4.4%
State,Utah,49',2011-10,2.7%
State,Vermont,50',2011-10,2.6%
State,Virginia,51',2011-10,3.0%
State,Washington,53',2011-10,2.3%
State,West Virginia,54',2011-10,4.4%
State,Wisconsin,55',2011-10,2.4%
State,Wyoming,56',2011-10,2.6%
National,United States,-----,2011-11,3.3%
State,Alabama,01',2011-11,4.5%
State,Alaska,02',2011-11,1.8%
State,Arizona,04',2011-11,3.3%
State,Arkansas,05',2011-11,4.2%
State,California,06',2011-11,2.6%
State,Colorado,08',2011-11,2.3%
State,Connecticut,09',2011-11,3.2%
State,Delaware,10',2011-11,3.9%
State,District of Columbia,11',2011-11,3.1%
State,Florida,12',2011-11,3.5%
State,Georgia,13',2011-11,4.7%
State,Hawaii,15',2011-11,1.7%
State,Idaho,16',2011-11,2.8%
State,Illinois,17',2011-11,3.2%
State,Indiana,18',2011-11,3.7%
State,Iowa,19',2011-11,2.3%
State,Kansas,20',2011-11,2.9%
State,Kentucky,21',2011-11,3.5%
State,Louisiana,22',2011-11,4.7%
State,Maine,23',2011-11,3.3%
State,Maryland,24',2011-11,3.6%
State,Massachusetts,25',2011-11,2.6%
State,Michigan,26',2011-11,3.5%
State,Minnesota,27',2011-11,2.2%
State,Mississippi,28',2011-11,6.0%
State,Missouri,29',2011-11,3.4%
State,Montana,30',2011-11,2.3%
State,Nebraska,31',2011-11,2.4%
State,Nevada,32',2011-11,3.0%
State,New Hampshire,33',2011-11,3.0%
State,New Jersey,34',2011-11,3.1%
State,New Mexico,35',2011-11,3.1%
State,New York,36',2011-11,3.1%
State,North Carolina,37',2011-11,4.1%
State,North Dakota,38',2011-11,1.6%
State,Ohio,39',2011-11,3.3%
State,Oklahoma,40',2011-11,3.6%
State,Oregon,41',2011-11,2.1%
State,Pennsylvania,42',2011-11,3.6%
State,Rhode Island,44',2011-11,3.4%
State,South Carolina,45',2011-11,4.3%
State,South Dakota,46',2011-11,1.8%
State,Tennessee,47',2011-11,4.2%
State,Texas,48',2011-11,4.3%
State,Utah,49',2011-11,2.7%
State,Vermont,50',2011-11,2.0%
State,Virginia,51',2011-11,2.9%
State,Washington,53',2011-11,2.2%
State,West Virginia,54',2011-11,4.4%
State,Wisconsin,55',2011-11,2.3%
State,Wyoming,56',2011-11,2.7%
National,United States,-----,2011-12,3.5%
State,Alabama,01',2011-12,4.8%
State,Alaska,02',2011-12,2.4%
State,Arizona,04',2011-12,3.4%
State,Arkansas,05',2011-12,4.5%
State,California,06',2011-12,2.7%
State,Colorado,08',2011-12,2.3%
State,Connecticut,09',2011-12,3.4%
State,Delaware,10',2011-12,4.2%
State,District of Columbia,11',2011-12,3.0%
State,Florida,12',2011-12,3.6%
State,Georgia,13',2011-12,4.9%
State,Hawaii,15',2011-12,2.2%
State,Idaho,16',2011-12,3.0%
State,Illinois,17',2011-12,3.3%
State,Indiana,18',2011-12,4.0%
State,Iowa,19',2011-12,2.4%
State,Kansas,20',2011-12,3.1%
State,Kentucky,21',2011-12,3.7%
State,Louisiana,22',2011-12,5.1%
State,Maine,23',2011-12,3.6%
State,Maryland,24',2011-12,3.8%
State,Massachusetts,25',2011-12,2.8%
State,Michigan,26',2011-12,3.7%
State,Minnesota,27',2011-12,2.4%
State,Mississippi,28',2011-12,6.5%
State,Missouri,29',2011-12,3.6%
State,Montana,30',2011-12,2.2%
State,Nebraska,31',2011-12,2.6%
State,Nevada,32',2011-12,3.1%
State,New Hampshire,33',2011-12,3.3%
State,New Jersey,34',2011-12,3.2%
State,New Mexico,35',2011-12,3.3%
State,New York,36',2011-12,3.3%
State,North Carolina,37',2011-12,4.2%
State,North Dakota,38',2011-12,1.7%
State,Ohio,39',2011-12,3.5%
State,Oklahoma,40',2011-12,3.9%
State,Oregon,41',2011-12,2.2%
State,Pennsylvania,42',2011-12,3.9%
State,Rhode Island,44',2011-12,3.9%
State,South Carolina,45',2011-12,4.5%
State,South Dakota,46',2011-12,1.7%
State,Tennessee,47',2011-12,4.4%
State,Texas,48',2011-12,4.5%
State,Utah,49',2011-12,2.9%
State,Vermont,50',2011-12,2.3%
State,Virginia,51',2011-12,3.1%
State,Washington,53',2011-12,2.3%
State,West Virginia,54',2011-12,4.7%
State,Wisconsin,55',2011-12,2.4%
State,Wyoming,56',2011-12,2.7%
National,United States,-----,2012-01,3.7%
State,Alabama,01',2012-01,5.0%
State,Alaska,02',2012-01,2.8%
State,Arizona,04',2012-01,3.4%
State,Arkansas,05',2012-01,4.5%
State,California,06',2012-01,2.9%
State,Colorado,08',2012-01,2.4%
State,Connecticut,09',2012-01,3.7%
State,Delaware,10',2012-01,4.2%
State,District of Columbia,11',2012-01,3.0%
State,Florida,12',2012-01,3.8%
State,Georgia,13',2012-01,5.1%
State,Hawaii,15',2012-01,2.4%
State,Idaho,16',2012-01,3.3%
State,Illinois,17',2012-01,3.5%
State,Indiana,18',2012-01,4.3%
State,Iowa,19',2012-01,2.6%
State,Kansas,20',2012-01,3.3%
State,Kentucky,21',2012-01,4.1%
State,Louisiana,22',2012-01,5.3%
State,Maine,23',2012-01,3.8%
State,Maryland,24',2012-01,4.0%
State,Massachusetts,25',2012-01,3.0%
State,Michigan,26',2012-01,4.0%
State,Minnesota,27',2012-01,2.4%
State,Mississippi,28',2012-01,7.0%
State,Missouri,29',2012-01,3.9%
State,Montana,30',2012-01,2.4%
State,Nebraska,31',2012-01,2.6%
State,Nevada,32',2012-01,3.3%
State,New Hampshire,33',2012-01,3.3%
State,New Jersey,34',2012-01,3.3%
State,New Mexico,35',2012-01,3.6%
State,New York,36',2012-01,3.5%
State,North Carolina,37',2012-01,4.6%
State,North Dakota,38',2012-01,1.9%
State,Ohio,39',2012-01,3.7%
State,Oklahoma,40',2012-01,4.0%
State,Oregon,41',2012-01,2.4%
State,Pennsylvania,42',2012-01,4.2%
State,Rhode Island,44',2012-01,4.0%
State,South Carolina,45',2012-01,4.8%
State,South Dakota,46',2012-01,1.7%
State,Tennessee,47',2012-01,4.7%
State,Texas,48',2012-01,4.7%
State,Utah,49',2012-01,3.0%
State,Vermont,50',2012-01,2.6%
State,Virginia,51',2012-01,3.2%
State,Washington,53',2012-01,2.5%
State,West Virginia,54',2012-01,5.1%
State,Wisconsin,55',2012-01,2.5%
State,Wyoming,56',2012-01,2.7%
National,United States,-----,2012-02,3.3%
State,Alabama,01',2012-02,4.3%
State,Alaska,02',2012-02,2.3%
State,Arizona,04',2012-02,3.0%
State,Arkansas,05',2012-02,4.0%
State,California,06',2012-02,2.6%
State,Colorado,08',2012-02,2.3%
State,Connecticut,09',2012-02,3.3%
State,Delaware,10',2012-02,3.7%
State,District of Columbia,11',2012-02,3.0%
State,Florida,12',2012-02,3.4%
State,Georgia,13',2012-02,4.6%
State,Hawaii,15',2012-02,2.1%
State,Idaho,16',2012-02,2.7%
State,Illinois,17',2012-02,3.1%
State,Indiana,18',2012-02,3.8%
State,Iowa,19',2012-02,2.3%
State,Kansas,20',2012-02,2.9%
State,Kentucky,21',2012-02,3.6%
State,Louisiana,22',2012-02,4.7%
State,Maine,23',2012-02,3.4%
State,Maryland,24',2012-02,3.6%
State,Massachusetts,25',2012-02,2.6%
State,Michigan,26',2012-02,3.5%
State,Minnesota,27',2012-02,2.2%
State,Mississippi,28',2012-02,5.9%
State,Missouri,29',2012-02,3.5%
State,Montana,30',2012-02,2.2%
State,Nebraska,31',2012-02,2.1%
State,Nevada,32',2012-02,3.1%
State,New Hampshire,33',2012-02,3.0%
State,New Jersey,34',2012-02,3.1%
State,New Mexico,35',2012-02,3.0%
State,New York,36',2012-02,3.1%
State,North Carolina,37',2012-02,4.1%
State,North Dakota,38',2012-02,1.8%
State,Ohio,39',2012-02,3.2%
State,Oklahoma,40',2012-02,3.6%
State,Oregon,41',2012-02,2.2%
State,Pennsylvania,42',2012-02,3.8%
State,Rhode Island,44',2012-02,3.4%
State,South Carolina,45',2012-02,4.2%
State,South Dakota,46',2012-02,1.8%
State,Tennessee,47',2012-02,4.2%
State,Texas,48',2012-02,4.2%
State,Utah,49',2012-02,2.5%
State,Vermont,50',2012-02,2.4%
State,Virginia,51',2012-02,2.9%
State,Washington,53',2012-02,2.3%
State,West Virginia,54',2012-02,4.3%
State,Wisconsin,55',2012-02,2.1%
State,Wyoming,56',2012-02,2.3%
National,United States,-----,2012-03,3.1%
State,Alabama,01',2012-03,4.1%
State,Alaska,02',2012-03,2.5%
State,Arizona,04',2012-03,3.0%
State,Arkansas,05',2012-03,3.7%
State,California,06',2012-03,2.6%
State,Colorado,08',2012-03,2.2%
State,Connecticut,09',2012-03,3.2%
State,Delaware,10',2012-03,3.6%
State,District of Columbia,11',2012-03,2.7%
State,Florida,12',2012-03,3.3%
State,Georgia,13',2012-03,4.3%
State,Hawaii,15',2012-03,2.0%
State,Idaho,16',2012-03,2.4%
State,Illinois,17',2012-03,2.8%
State,Indiana,18',2012-03,3.2%
State,Iowa,19',2012-03,2.2%
State,Kansas,20',2012-03,2.7%
State,Kentucky,21',2012-03,3.0%
State,Louisiana,22',2012-03,4.2%
State,Maine,23',2012-03,3.0%
State,Maryland,24',2012-03,3.5%
State,Massachusetts,25',2012-03,2.6%
State,Michigan,26',2012-03,3.2%
State,Minnesota,27',2012-03,2.0%
State,Mississippi,28',2012-03,5.5%
State,Missouri,29',2012-03,3.2%
State,Montana,30',2012-03,1.9%
State,Nebraska,31',2012-03,2.1%
State,Nevada,32',2012-03,3.0%
State,New Hampshire,33',2012-03,3.0%
State,New Jersey,34',2012-03,3.0%
State,New Mexico,35',2012-03,3.0%
State,New York,36',2012-03,2.9%
State,North Carolina,37',2012-03,3.7%
State,North Dakota,38',2012-03,1.4%
State,Ohio,39',2012-03,2.9%
State,Oklahoma,40',2012-03,3.2%
State,Oregon,41',2012-03,2.1%
State,Pennsylvania,42',2012-03,3.4%
State,Rhode Island,44',2012-03,3.2%
State,South Carolina,45',2012-03,3.8%
State,South Dakota,46',2012-03,1.6%
State,Tennessee,47',2012-03,3.8%
State,Texas,48',2012-03,3.8%
State,Utah,49',2012-03,2.6%
State,Vermont,50',2012-03,2.2%
State,Virginia,51',2012-03,2.7%
State,Washington,53',2012-03,2.2%
State,West Virginia,54',2012-03,4.0%
State,Wisconsin,55',2012-03,2.0%
State,Wyoming,56',2012-03,2.0%
National,United States,-----,2012-04,3.0%
State,Alabama,01',2012-04,4.1%
State,Alaska,02',2012-04,2.2%
State,Arizona,04',2012-04,2.8%
State,Arkansas,05',2012-04,3.6%
State,California,06',2012-04,2.5%
State,Colorado,08',2012-04,2.1%
State,Connecticut,09',2012-04,3.0%
State,Delaware,10',2012-04,3.8%
State,District of Columbia,11',2012-04,2.6%
State,Florida,12',2012-04,3.1%
State,Georgia,13',2012-04,4.1%
State,Hawaii,15',2012-04,1.8%
State,Idaho,16',2012-04,2.7%
State,Illinois,17',2012-04,2.7%
State,Indiana,18',2012-04,3.2%
State,Iowa,19',2012-04,2.1%
State,Kansas,20',2012-04,2.6%
State,Kentucky,21',2012-04,3.1%
State,Louisiana,22',2012-04,4.0%
State,Maine,23',2012-04,3.0%
State,Maryland,24',2012-04,3.4%
State,Massachusetts,25',2012-04,2.6%
State,Michigan,26',2012-04,3.2%
State,Minnesota,27',2012-04,1.9%
State,Mississippi,28',2012-04,5.7%
State,Missouri,29',2012-04,3.2%
State,Montana,30',2012-04,1.9%
State,Nebraska,31',2012-04,2.1%
State,Nevada,32',2012-04,3.1%
State,New Hampshire,33',2012-04,2.9%
State,New Jersey,34',2012-04,2.8%
State,New Mexico,35',2012-04,2.9%
State,New York,36',2012-04,2.8%
State,North Carolina,37',2012-04,3.7%
State,North Dakota,38',2012-04,1.4%
State,Ohio,39',2012-04,2.9%
State,Oklahoma,40',2012-04,3.3%
State,Oregon,41',2012-04,2.1%
State,Pennsylvania,42',2012-04,3.4%
State,Rhode Island,44',2012-04,3.2%
State,South Carolina,45',2012-04,3.9%
State,South Dakota,46',2012-04,1.4%
State,Tennessee,47',2012-04,3.7%
State,Texas,48',2012-04,3.7%
State,Utah,49',2012-04,2.5%
State,Vermont,50',2012-04,2.4%
State,Virginia,51',2012-04,2.7%
State,Washington,53',2012-04,2.1%
State,West Virginia,54',2012-04,3.9%
State,Wisconsin,55',2012-04,2.0%
State,Wyoming,56',2012-04,1.9%
National,United States,-----,2012-05,3.1%
State,Alabama,01',2012-05,4.3%
State,Alaska,02',2012-05,2.2%
State,Arizona,04',2012-05,2.8%
State,Arkansas,05',2012-05,3.8%
State,California,06',2012-05,2.5%
State,Colorado,08',2012-05,2.2%
State,Connecticut,09',2012-05,3.1%
State,Delaware,10',2012-05,3.9%
State,District of Columbia,11',2012-05,2.8%
State,Florida,12',2012-05,3.2%
State,Georgia,13',2012-05,4.3%
State,Hawaii,15',2012-05,1.9%
State,Idaho,16',2012-05,2.7%
State,Illinois,17',2012-05,2.9%
State,Indiana,18',2012-05,3.6%
State,Iowa,19',2012-05,2.3%
State,Kansas,20',2012-05,2.8%
State,Kentucky,21',2012-05,3.2%
State,Louisiana,22',2012-05,4.4%
State,Maine,23',2012-05,3.0%
State,Maryland,24',2012-05,3.5%
State,Massachusetts,25',2012-05,2.7%
State,Michigan,26',2012-05,3.4%
State,Minnesota,27',2012-05,2.1%
State,Mississippi,28',2012-05,5.9%
State,Missouri,29',2012-05,3.3%
State,Montana,30',2012-05,2.3%
State,Nebraska,31',2012-05,2.3%
State,Nevada,32',2012-05,3.2%
State,New Hampshire,33',2012-05,3.1%
State,New Jersey,34',2012-05,2.9%
State,New Mexico,35',2012-05,3.1%
State,New York,36',2012-05,2.9%
State,North Carolina,37',2012-05,3.8%
State,North Dakota,38',2012-05,1.8%
State,Ohio,39',2012-05,3.1%
State,Oklahoma,40',2012-05,3.4%
State,Oregon,41',2012-05,2.1%
State,Pennsylvania,42',2012-05,3.6%
State,Rhode Island,44',2012-05,3.2%
State,South Carolina,45',2012-05,4.1%
State,South Dakota,46',2012-05,1.7%
State,Tennessee,47',2012-05,3.9%
State,Texas,48',2012-05,3.9%
State,Utah,49',2012-05,2.6%
State,Vermont,50',2012-05,2.5%
State,Virginia,51',2012-05,2.7%
State,Washington,53',2012-05,2.1%
State,West Virginia,54',2012-05,4.2%
State,Wisconsin,55',2012-05,2.1%
State,Wyoming,56',2012-05,2.1%
National,United States,-----,2012-06,3.1%
State,Alabama,01',2012-06,4.3%
State,Alaska,02',2012-06,2.4%
State,Arizona,04',2012-06,2.8%
State,Arkansas,05',2012-06,3.9%
State,California,06',2012-06,2.5%
State,Colorado,08',2012-06,2.2%
State,Connecticut,09',2012-06,3.1%
State,Delaware,10',2012-06,3.9%
State,District of Columbia,11',2012-06,3.1%
State,Florida,12',2012-06,3.2%
State,Georgia,13',2012-06,4.3%
State,Hawaii,15',2012-06,2.1%
State,Idaho,16',2012-06,2.8%
State,Illinois,17',2012-06,2.9%
State,Indiana,18',2012-06,3.6%
State,Iowa,19',2012-06,2.2%
State,Kansas,20',2012-06,2.8%
State,Kentucky,21',2012-06,3.1%
State,Louisiana,22',2012-06,4.5%
State,Maine,23',2012-06,2.8%
State,Maryland,24',2012-06,3.4%
State,Massachusetts,25',2012-06,2.5%
State,Michigan,26',2012-06,3.4%
State,Minnesota,27',2012-06,2.1%
State,Mississippi,28',2012-06,5.7%
State,Missouri,29',2012-06,3.3%
State,Montana,30',2012-06,1.9%
State,Nebraska,31',2012-06,2.2%
State,Nevada,32',2012-06,3.1%
State,New Hampshire,33',2012-06,2.9%
State,New Jersey,34',2012-06,2.9%
State,New Mexico,35',2012-06,2.9%
State,New York,36',2012-06,3.0%
State,North Carolina,37',2012-06,3.9%
State,North Dakota,38',2012-06,1.6%
State,Ohio,39',2012-06,3.1%
State,Oklahoma,40',2012-06,3.5%
State,Oregon,41',2012-06,2.1%
State,Pennsylvania,42',2012-06,3.6%
State,Rhode Island,44',2012-06,3.4%
State,South Carolina,45',2012-06,4.0%
State,South Dakota,46',2012-06,1.8%
State,Tennessee,47',2012-06,4.0%
State,Texas,48',2012-06,4.0%
State,Utah,49',2012-06,2.6%
State,Vermont,50',2012-06,2.4%
State,Virginia,51',2012-06,2.8%
State,Washington,53',2012-06,2.1%
State,West Virginia,54',2012-06,4.5%
State,Wisconsin,55',2012-06,2.2%
State,Wyoming,56',2012-06,2.5%
National,United States,-----,2012-07,3.3%
State,Alabama,01',2012-07,4.5%
State,Alaska,02',2012-07,2.3%
State,Arizona,04',2012-07,2.8%
State,Arkansas,05',2012-07,4.0%
State,California,06',2012-07,2.6%
State,Colorado,08',2012-07,2.3%
State,Connecticut,09',2012-07,3.2%
State,Delaware,10',2012-07,3.8%
State,District of Columbia,11',2012-07,2.8%
State,Florida,12',2012-07,3.3%
State,Georgia,13',2012-07,4.5%
State,Hawaii,15',2012-07,2.2%
State,Idaho,16',2012-07,2.9%
State,Illinois,17',2012-07,3.1%
State,Indiana,18',2012-07,3.8%
State,Iowa,19',2012-07,2.3%
State,Kansas,20',2012-07,2.9%
State,Kentucky,21',2012-07,3.4%
State,Louisiana,22',2012-07,4.7%
State,Maine,23',2012-07,3.2%
State,Maryland,24',2012-07,3.6%
State,Massachusetts,25',2012-07,2.7%
State,Michigan,26',2012-07,3.6%
State,Minnesota,27',2012-07,2.3%
State,Mississippi,28',2012-07,6.0%
State,Missouri,29',2012-07,3.4%
State,Montana,30',2012-07,1.9%
State,Nebraska,31',2012-07,2.5%
State,Nevada,32',2012-07,3.1%
State,New Hampshire,33',2012-07,3.1%
State,New Jersey,34',2012-07,3.1%
State,New Mexico,35',2012-07,3.0%
State,New York,36',2012-07,3.1%
State,North Carolina,37',2012-07,4.0%
State,North Dakota,38',2012-07,1.7%
State,Ohio,39',2012-07,3.3%
State,Oklahoma,40',2012-07,3.6%
State,Oregon,41',2012-07,2.1%
State,Pennsylvania,42',2012-07,3.8%
State,Rhode Island,44',2012-07,3.7%
State,South Carolina,45',2012-07,4.2%
State,South Dakota,46',2012-07,2.0%
State,Tennessee,47',2012-07,4.1%
State,Texas,48',2012-07,4.2%
State,Utah,49',2012-07,2.7%
State,Vermont,50',2012-07,2.5%
State,Virginia,51',2012-07,3.0%
State,Washington,53',2012-07,2.1%
State,West Virginia,54',2012-07,4.6%
State,Wisconsin,55',2012-07,2.2%
State,Wyoming,56',2012-07,2.7%
National,United States,-----,2012-08,3.3%
State,Alabama,01',2012-08,4.6%
State,Alaska,02',2012-08,2.2%
State,Arizona,04',2012-08,2.9%
State,Arkansas,05',2012-08,4.0%
State,California,06',2012-08,2.6%
State,Colorado,08',2012-08,2.3%
State,Connecticut,09',2012-08,3.2%
State,Delaware,10',2012-08,3.9%
State,District of Columbia,11',2012-08,3.0%
State,Florida,12',2012-08,3.4%
State,Georgia,13',2012-08,4.5%
State,Hawaii,15',2012-08,1.9%
State,Idaho,16',2012-08,2.8%
State,Illinois,17',2012-08,3.1%
State,Indiana,18',2012-08,3.7%
State,Iowa,19',2012-08,2.3%
State,Kansas,20',2012-08,2.9%
State,Kentucky,21',2012-08,3.5%
State,Louisiana,22',2012-08,5.0%
State,Maine,23',2012-08,3.1%
State,Maryland,24',2012-08,3.6%
State,Massachusetts,25',2012-08,2.8%
State,Michigan,26',2012-08,3.6%
State,Minnesota,27',2012-08,2.3%
State,Mississippi,28',2012-08,6.2%
State,Missouri,29',2012-08,3.5%
State,Montana,30',2012-08,2.0%
State,Nebraska,31',2012-08,2.4%
State,Nevada,32',2012-08,3.0%
State,New Hampshire,33',2012-08,3.2%
State,New Jersey,34',2012-08,3.1%
State,New Mexico,35',2012-08,3.3%
State,New York,36',2012-08,3.2%
State,North Carolina,37',2012-08,3.9%
State,North Dakota,38',2012-08,1.5%
State,Ohio,39',2012-08,3.3%
State,Oklahoma,40',2012-08,3.5%
State,Oregon,41',2012-08,2.0%
State,Pennsylvania,42',2012-08,3.8%
State,Rhode Island,44',2012-08,3.5%
State,South Carolina,45',2012-08,4.1%
State,South Dakota,46',2012-08,1.9%
State,Tennessee,47',2012-08,4.2%
State,Texas,48',2012-08,4.2%
State,Utah,49',2012-08,2.6%
State,Vermont,50',2012-08,2.2%
State,Virginia,51',2012-08,2.9%
State,Washington,53',2012-08,2.1%
State,West Virginia,54',2012-08,4.5%
State,Wisconsin,55',2012-08,2.3%
State,Wyoming,56',2012-08,2.4%
National,United States,-----,2012-09,3.3%
State,Alabama,01',2012-09,4.5%
State,Alaska,02',2012-09,2.2%
State,Arizona,04',2012-09,3.0%
State,Arkansas,05',2012-09,4.2%
State,California,06',2012-09,2.6%
State,Colorado,08',2012-09,2.2%
State,Connecticut,09',2012-09,3.3%
State,Delaware,10',2012-09,4.1%
State,District of Columbia,11',2012-09,2.7%
State,Florida,12',2012-09,3.4%
State,Georgia,13',2012-09,4.6%
State,Hawaii,15',2012-09,1.8%
State,Idaho,16',2012-09,2.9%
State,Illinois,17',2012-09,3.2%
State,Indiana,18',2012-09,3.9%
State,Iowa,19',2012-09,2.4%
State,Kansas,20',2012-09,2.9%
State,Kentucky,21',2012-09,3.4%
State,Louisiana,22',2012-09,5.0%
State,Maine,23',2012-09,3.0%
State,Maryland,24',2012-09,3.6%
State,Massachusetts,25',2012-09,2.8%
State,Michigan,26',2012-09,3.6%
State,Minnesota,27',2012-09,2.2%
State,Mississippi,28',2012-09,6.3%
State,Missouri,29',2012-09,3.5%
State,Montana,30',2012-09,2.0%
State,Nebraska,31',2012-09,2.4%
State,Nevada,32',2012-09,3.1%
State,New Hampshire,33',2012-09,3.3%
State,New Jersey,34',2012-09,3.2%
State,New Mexico,35',2012-09,3.2%
State,New York,36',2012-09,3.2%
State,North Carolina,37',2012-09,4.2%
State,North Dakota,38',2012-09,1.3%
State,Ohio,39',2012-09,3.4%
State,Oklahoma,40',2012-09,3.7%
State,Oregon,41',2012-09,2.0%
State,Pennsylvania,42',2012-09,3.8%
State,Rhode Island,44',2012-09,3.4%
State,South Carolina,45',2012-09,4.4%
State,South Dakota,46',2012-09,1.8%
State,Tennessee,47',2012-09,4.3%
State,Texas,48',2012-09,4.3%
State,Utah,49',2012-09,2.7%
State,Vermont,50',2012-09,2.1%
State,Virginia,51',2012-09,3.0%
State,Washington,53',2012-09,2.2%
State,West Virginia,54',2012-09,4.3%
State,Wisconsin,55',2012-09,2.3%
State,Wyoming,56',2012-09,2.8%
National,United States,-----,2012-10,3.4%
State,Alabama,01',2012-10,4.7%
State,Alaska,02',2012-10,2.2%
State,Arizona,04',2012-10,3.1%
State,Arkansas,05',2012-10,4.3%
State,California,06',2012-10,2.7%
State,Colorado,08',2012-10,2.3%
State,Connecticut,09',2012-10,3.2%
State,Delaware,10',2012-10,4.1%
State,District of Columbia,11',2012-10,2.5%
State,Florida,12',2012-10,3.5%
State,Georgia,13',2012-10,4.7%
State,Hawaii,15',2012-10,2.0%
State,Idaho,16',2012-10,2.8%
State,Illinois,17',2012-10,3.2%
State,Indiana,18',2012-10,4.0%
State,Iowa,19',2012-10,2.6%
State,Kansas,20',2012-10,2.9%
State,Kentucky,21',2012-10,3.5%
State,Louisiana,22',2012-10,4.7%
State,Maine,23',2012-10,3.1%
State,Maryland,24',2012-10,3.7%
State,Massachusetts,25',2012-10,3.0%
State,Michigan,26',2012-10,3.6%
State,Minnesota,27',2012-10,2.2%
State,Mississippi,28',2012-10,6.5%
State,Missouri,29',2012-10,3.6%
State,Montana,30',2012-10,1.9%
State,Nebraska,31',2012-10,2.4%
State,Nevada,32',2012-10,3.1%
State,New Hampshire,33',2012-10,3.4%
State,New Jersey,34',2012-10,3.2%
State,New Mexico,35',2012-10,3.2%
State,New York,36',2012-10,3.3%
State,North Carolina,37',2012-10,4.2%
State,North Dakota,38',2012-10,1.5%
State,Ohio,39',2012-10,3.4%
State,Oklahoma,40',2012-10,3.7%
State,Oregon,41',2012-10,2.0%
State,Pennsylvania,42',2012-10,3.9%
State,Rhode Island,44',2012-10,3.3%
State,South Carolina,45',2012-10,4.4%
State,South Dakota,46',2012-10,1.8%
State,Tennessee,47',2012-10,4.4%
State,Texas,48',2012-10,4.4%
State,Utah,49',2012-10,2.6%
State,Vermont,50',2012-10,2.3%
State,Virginia,51',2012-10,3.1%
State,Washington,53',2012-10,2.0%
State,West Virginia,54',2012-10,4.5%
State,Wisconsin,55',2012-10,2.4%
State,Wyoming,56',2012-10,2.3%
National,United States,-----,2012-11,3.2%
State,Alabama,01',2012-11,4.8%
State,Alaska,02',2012-11,2.0%
State,Arizona,04',2012-11,3.0%
State,Arkansas,05',2012-11,4.0%
State,California,06',2012-11,2.6%
State,Colorado,08',2012-11,2.1%
State,Connecticut,09',2012-11,2.8%
State,Delaware,10',2012-11,3.6%
State,District of Columbia,11',2012-11,2.3%
State,Florida,12',2012-11,3.4%
State,Georgia,13',2012-11,4.5%
State,Hawaii,15',2012-11,1.8%
State,Idaho,16',2012-11,2.5%
State,Illinois,17',2012-11,3.0%
State,Indiana,18',2012-11,3.7%
State,Iowa,19',2012-11,2.4%
State,Kansas,20',2012-11,2.8%
State,Kentucky,21',2012-11,3.4%
State,Louisiana,22',2012-11,4.6%
State,Maine,23',2012-11,3.2%
State,Maryland,24',2012-11,3.4%
State,Massachusetts,25',2012-11,2.6%
State,Michigan,26',2012-11,3.4%
State,Minnesota,27',2012-11,2.0%
State,Mississippi,28',2012-11,6.3%
State,Missouri,29',2012-11,3.5%
State,Montana,30',2012-11,1.7%
State,Nebraska,31',2012-11,2.4%
State,Nevada,32',2012-11,3.0%
State,New Hampshire,33',2012-11,3.2%
State,New Jersey,34',2012-11,2.8%
State,New Mexico,35',2012-11,3.0%
State,New York,36',2012-11,3.0%
State,North Carolina,37',2012-11,4.1%
State,North Dakota,38',2012-11,1.6%
State,Ohio,39',2012-11,3.3%
State,Oklahoma,40',2012-11,3.5%
